Time_sec,Temperature_degC
64.1,18.58
64.15,18.58
64.2,18.58
64.25,18.58
64.3,18.58
64.35,18.58
64.4,18.58
64.45,18.58
64.5,18.58
64.55,18.58
64.6,18.58
64.65,19.07
64.7,18.58
64.75,18.58
64.8,18.58
64.85,18.58
64.9,18.58
64.95,19.07
65,19.07
65.05,-61.57
65.1,-61.57
65.15,-61.57
65.2,21.52
65.25,21.52
65.3,21.03
65.35,21.03
65.4,21.03
65.451,21.03
65.5,21.03
65.55,21.03
65.6,21.03
65.65,21.03
65.7,21.03
65.75,21.03
65.8,21.03
65.85,21.03
65.9,21.03
65.95,21.03
66,21.03
66.05,21.03
66.1,21.03
66.15,21.03
66.2,21.03
66.25,21.03
66.3,21.03
66.35,21.03
66.4,21.03
66.45,21.03
66.5,21.03
66.55,21.03
66.6,21.03
66.65,21.03
66.7,21.03
66.75,21.03
66.8,21.03
66.85,21.03
66.9,21.03
66.95,21.03
67,21.03
67.05,21.03
67.1,21.03
67.15,21.03
67.2,21.03
67.25,21.03
67.3,21.03
67.35,21.03
67.4,21.03
67.45,21.03
67.5,21.03
67.55,21.03
67.6,21.03
67.65,21.03
67.7,21.03
67.75,21.03
67.8,21.03
67.85,21.03
67.9,21.03
67.95,21.03
68,21.03
68.05,21.03
68.1,21.03
68.15,21.03
68.2,21.03
68.25,21.03
68.3,21.03
68.35,21.03
68.4,21.03
68.45,21.03
68.5,21.03
68.55,21.03
68.6,21.03
68.651,21.03
68.7,21.03
68.75,21.03
68.8,21.03
68.85,21.03
68.9,21.03
68.95,21.03
69,21.03
69.05,21.03
69.1,21.03
69.15,21.03
69.2,21.03
69.25,21.03
69.3,21.03
69.35,21.03
69.4,21.03
69.45,21.03
69.5,21.03
69.55,21.03
69.6,21.03
69.65,21.03
69.7,21.03
69.75,21.03
69.8,21.03
69.85,21.03
69.9,21.03
69.95,21.03
70,21.03
70.05,21.03
70.1,21.03
70.15,21.03
70.2,21.03
70.25,21.03
70.3,20.54
70.35,21.03
70.4,21.03
70.45,21.03
70.5,21.03
70.55,21.03
70.6,21.03
70.65,21.03
70.7,21.03
70.75,21.03
70.8,21.03
70.85,21.03
70.9,21.03
70.95,21.03
71,21.03
71.05,21.03
71.1,21.03
71.15,21.03
71.2,21.03
71.25,21.03
71.3,21.03
71.35,21.03
71.4,21.03
71.45,21.03
71.5,21.03
71.55,21.52
71.6,21.03
71.65,21.03
71.7,21.03
71.75,21.03
71.8,21.03
71.851,21.03
71.9,21.03
71.95,21.03
72,21.03
72.05,21.03
72.1,21.03
72.15,21.03
72.2,21.03
72.25,21.03
72.3,21.03
72.35,21.03
72.4,21.03
72.45,21.03
72.5,21.03
72.55,21.03
72.6,21.03
72.65,20.54
72.7,21.03
72.75,21.03
72.8,21.03
72.85,21.03
72.9,21.03
72.95,21.03
73,21.03
73.05,20.54
73.1,21.03
73.15,21.03
73.2,21.03
73.25,20.54
73.3,21.03
73.35,21.03
73.4,21.03
73.45,21.03
73.5,21.03
73.55,20.54
73.6,21.03
73.65,21.03
73.7,20.54
73.75,21.03
73.8,21.03
73.85,21.03
73.9,21.03
73.95,21.03
74,21.03
74.05,21.03
74.1,21.03
74.15,21.03
74.2,21.03
74.25,21.03
74.3,21.03
74.35,21.03
74.4,21.03
74.45,21.03
74.5,21.03
74.55,21.03
74.6,21.03
74.65,21.03
74.7,21.03
74.75,21.03
74.8,21.03
74.85,20.54
74.9,21.03
74.95,21.03
75,21.03
75.051,21.03
75.1,21.03
75.15,21.03
75.2,21.03
75.25,21.03
75.3,21.03
75.35,21.03
75.4,21.03
75.45,20.54
75.5,21.03
75.55,21.03
75.6,21.03
75.65,21.03
75.7,21.03
75.75,21.03
75.8,21.03
75.85,21.03
75.9,21.03
75.95,21.03
76,21.03
76.05,21.03
76.1,21.03
76.15,21.03
76.2,21.03
76.25,21.03
76.3,21.03
76.35,21.03
76.4,21.03
76.45,21.03
76.5,21.03
76.55,21.03
76.6,21.03
76.65,21.03
76.7,21.03
76.75,21.03
76.8,21.03
76.85,21.03
76.9,21.03
76.95,21.03
77,21.03
77.05,21.03
77.1,21.03
77.15,21.03
77.2,21.03
77.25,21.03
77.3,21.03
77.35,21.03
77.4,21.03
77.45,21.03
77.5,21.03
77.55,21.03
77.6,21.03
77.65,21.03
77.7,21.03
77.75,21.03
77.8,21.03
77.85,21.03
77.9,21.03
77.95,21.03
78,21.03
78.05,21.03
78.1,21.03
78.15,21.03
78.2,21.03
78.251,21.03
78.3,21.03
78.35,21.03
78.4,21.03
78.45,21.03
78.5,21.03
78.55,21.03
78.6,21.03
78.65,21.03
78.7,21.03
78.75,21.03
78.8,21.03
78.85,21.03
78.9,21.03
78.95,21.03
79,21.03
79.05,21.03
79.1,21.03
79.15,21.03
79.2,21.03
79.25,21.03
79.3,21.03
79.35,21.03
79.4,21.03
79.45,21.03
79.5,21.03
79.55,21.03
79.6,21.03
79.65,21.03
79.7,21.03
79.75,21.03
79.8,21.03
79.85,21.03
79.9,21.03
79.95,21.03
80,21.03
80.05,21.03
80.1,21.03
80.15,21.03
80.2,21.03
80.25,21.03
80.3,21.03
80.35,21.03
80.4,21.03
80.45,21.03
80.5,21.03
80.55,21.03
80.6,21.03
80.65,21.03
80.7,21.03
80.75,21.03
80.8,21.52
80.85,21.03
80.9,21.03
80.95,21.03
81,21.03
81.05,21.03
81.1,21.03
81.15,21.03
81.2,21.03
81.25,21.03
81.3,21.03
81.35,21.03
81.4,21.03
81.451,21.03
81.5,21.03
81.55,21.03
81.6,21.03
81.65,21.03
81.7,21.03
81.75,20.54
81.8,21.03
81.85,21.03
81.9,20.54
81.95,21.03
82,21.03
82.05,21.03
82.1,21.03
82.15,21.03
82.2,21.03
82.25,21.03
82.3,21.03
82.35,21.03
82.4,21.03
82.45,21.03
82.5,21.03
82.55,21.03
82.6,21.03
82.65,21.03
82.7,21.03
82.75,21.03
82.8,21.52
82.85,21.03
82.9,21.03
82.95,21.03
83,21.03
83.05,21.03
83.1,21.03
83.15,21.03
83.2,21.03
83.25,21.03
83.3,21.03
83.35,21.03
83.4,21.03
83.45,21.03
83.5,21.03
83.55,21.03
83.6,21.03
83.65,21.03
83.7,21.03
83.75,21.03
83.8,21.03
83.85,21.03
83.9,21.03
83.95,21.03
84,21.03
84.05,21.03
84.1,21.03
84.15,20.54
84.2,21.03
84.25,21.03
84.3,20.54
84.35,21.03
84.4,21.03
84.45,21.03
84.5,21.03
84.55,21.03
84.6,21.03
84.651,21.03
84.7,21.03
84.75,20.54
84.8,21.52
84.85,21.03
84.9,21.03
84.95,21.03
85,20.54
85.05,21.03
85.1,21.03
85.15,21.03
85.2,21.03
85.25,21.03
85.3,21.03
85.35,21.03
85.4,21.03
85.45,21.03
85.5,21.03
85.55,21.03
85.6,21.03
85.65,21.03
85.7,21.03
85.75,21.03
85.8,21.03
85.85,21.03
85.9,21.03
85.95,21.03
86,21.03
86.05,21.03
86.1,-61.57
86.15,-61.57
86.2,-61.57
86.25,21.03
86.3,20.54
86.35,21.03
86.4,21.03
86.45,21.03
86.5,21.03
86.55,21.03
86.6,20.54
86.65,21.03
86.7,21.03
86.75,20.54
86.8,20.54
86.85,21.03
86.9,21.03
86.95,20.54
87,20.54
87.05,20.54
87.1,21.03
87.15,20.54
87.2,20.54
87.25,21.03
87.3,20.54
87.35,20.54
87.4,21.03
87.45,20.54
87.5,20.54
87.55,20.54
87.6,20.54
87.65,20.54
87.7,20.54
87.75,21.03
87.8,21.03
87.851,20.54
87.9,20.54
87.95,20.54
88,20.54
88.05,20.54
