alt,temp R,presure lb/ft^2,density slug/ft^3,,
478,516.983452,2079.884574,0.002343813184,,
479,516.979886,2079.809132,0.002343744336,,
480,516.97632,2079.733694,0.00234367549,,
481,516.972754,2079.658257,0.002343606646,,
482,516.969188,2079.582823,0.002343537802,,
483,516.965622,2079.50739,0.002343468961,,
484,516.962056,2079.43196,0.002343400121,,
485,516.95849,2079.356533,0.002343331282,,
486,516.954924,2079.281107,0.002343262446,,
487,516.951358,2079.205684,0.00234319361,,
488,516.947792,2079.130263,0.002343124776,,
489,516.944226,2079.054844,0.002343055944,,
490,516.94066,2078.979427,0.002342987113,,
491,516.937094,2078.904013,0.002342918284,,
492,516.933528,2078.828601,0.002342849457,,
493,516.929962,2078.753191,0.002342780631,,
494,516.926396,2078.677783,0.002342711806,,
495,516.92283,2078.602377,0.002342642983,,
496,516.919264,2078.526974,0.002342574162,,
497,516.915698,2078.451573,0.002342505342,,
498,516.912132,2078.376174,0.002342436523,,
499,516.908566,2078.300777,0.002342367707,,
500,516.905,2078.225382,0.002342298891,,
501,516.901434,2078.14999,0.002342230078,,
502,516.897868,2078.0746,0.002342161265,,
503,516.894302,2077.999212,0.002342092455,,
504,516.890736,2077.923826,0.002342023646,,
505,516.88717,2077.848443,0.002341954838,,
506,516.883604,2077.773062,0.002341886032,,
507,516.880038,2077.697683,0.002341817228,,
508,516.876472,2077.622306,0.002341748425,,
509,516.872906,2077.546931,0.002341679624,,
510,516.86934,2077.471559,0.002341610824,,
511,516.865774,2077.396189,0.002341542026,,
512,516.862208,2077.320821,0.002341473229,,
513,516.858642,2077.245455,0.002341404434,,
514,516.855076,2077.170092,0.00234133564,,
515,516.85151,2077.09473,0.002341266848,,
516,516.847944,2077.019371,0.002341198058,,
517,516.844378,2076.944014,0.002341129269,,
518,516.840812,2076.86866,0.002341060481,,
519,516.837246,2076.793307,0.002340991696,,
520,516.83368,2076.717957,0.002340922911,,
521,516.830114,2076.642609,0.002340854129,,
522,516.826548,2076.567263,0.002340785347,,
523,516.822982,2076.49192,0.002340716568,,
524,516.819416,2076.416578,0.00234064779,,
525,516.81585,2076.341239,0.002340579013,,
526,516.812284,2076.265902,0.002340510238,,
527,516.808718,2076.190567,0.002340441464,,
528,516.805152,2076.115235,0.002340372692,,
529,516.801586,2076.039905,0.002340303922,,
530,516.79802,2075.964577,0.002340235153,,
531,516.794454,2075.889251,0.002340166386,,
532,516.790888,2075.813927,0.00234009762,,
533,516.787322,2075.738606,0.002340028856,,
534,516.783756,2075.663286,0.002339960093,,
535,516.78019,2075.587969,0.002339891332,,
536,516.776624,2075.512655,0.002339822573,,
537,516.773058,2075.437342,0.002339753815,,
538,516.769492,2075.362032,0.002339685058,,
539,516.765926,2075.286723,0.002339616303,,
540,516.76236,2075.211417,0.00233954755,,
541,516.758794,2075.136114,0.002339478798,,
542,516.755228,2075.060812,0.002339410048,,
543,516.751662,2074.985513,0.002339341299,,
544,516.748096,2074.910216,0.002339272552,,
545,516.74453,2074.834921,0.002339203806,,
546,516.740964,2074.759628,0.002339135062,,
547,516.737398,2074.684338,0.002339066319,,
548,516.733832,2074.609049,0.002338997578,,
549,516.730266,2074.533763,0.002338928839,,
550,516.7267,2074.45848,0.002338860101,,
551,516.723134,2074.383198,0.002338791365,,
552,516.719568,2074.307919,0.00233872263,,
553,516.716002,2074.232641,0.002338653897,,
554,516.712436,2074.157366,0.002338585165,,
555,516.70887,2074.082094,0.002338516435,,
556,516.705304,2074.006823,0.002338447706,,
557,516.701738,2073.931555,0.002338378979,,
558,516.698172,2073.856289,0.002338310253,,
559,516.694606,2073.781025,0.002338241529,,
560,516.69104,2073.705763,0.002338172807,,
561,516.687474,2073.630503,0.002338104086,,
562,516.683908,2073.555246,0.002338035367,,
563,516.680342,2073.479991,0.002337966649,,
564,516.676776,2073.404738,0.002337897932,,
565,516.67321,2073.329488,0.002337829218,,
566,516.669644,2073.254239,0.002337760504,,
567,516.666078,2073.178993,0.002337691793,,
568,516.662512,2073.103749,0.002337623083,,
569,516.658946,2073.028507,0.002337554374,,
570,516.65538,2072.953268,0.002337485667,,
571,516.651814,2072.87803,0.002337416962,,
572,516.648248,2072.802795,0.002337348258,,
573,516.644682,2072.727562,0.002337279555,,
574,516.641116,2072.652331,0.002337210855,,
575,516.63755,2072.577103,0.002337142155,,
576,516.633984,2072.501876,0.002337073457,,
577,516.630418,2072.426652,0.002337004761,,
578,516.626852,2072.35143,0.002336936067,,
579,516.623286,2072.276211,0.002336867374,,
580,516.61972,2072.200993,0.002336798682,,
581,516.616154,2072.125778,0.002336729992,,
582,516.612588,2072.050565,0.002336661303,,
583,516.609022,2071.975354,0.002336592617,,
584,516.605456,2071.900145,0.002336523931,,
585,516.60189,2071.824939,0.002336455247,,
586,516.598324,2071.749735,0.002336386565,,
587,516.594758,2071.674533,0.002336317884,,
588,516.591192,2071.599333,0.002336249205,,
589,516.587626,2071.524135,0.002336180527,,
590,516.58406,2071.44894,0.002336111851,,
591,516.580494,2071.373747,0.002336043177,,
592,516.576928,2071.298556,0.002335974504,,
593,516.573362,2071.223367,0.002335905832,,
594,516.569796,2071.148181,0.002335837162,,
595,516.56623,2071.072996,0.002335768494,,
596,516.562664,2070.997814,0.002335699827,,
597,516.559098,2070.922634,0.002335631162,,
598,516.555532,2070.847457,0.002335562498,,
599,516.551966,2070.772281,0.002335493836,,
600,516.5484,2070.697108,0.002335425175,,
601,516.544834,2070.621937,0.002335356516,,
602,516.541268,2070.546768,0.002335287858,,
603,516.537702,2070.471601,0.002335219202,,
604,516.534136,2070.396437,0.002335150548,,
605,516.53057,2070.321275,0.002335081895,,
606,516.527004,2070.246115,0.002335013244,,
607,516.523438,2070.170957,0.002334944594,,
608,516.519872,2070.095801,0.002334875945,,
609,516.516306,2070.020648,0.002334807299,,
610,516.51274,2069.945497,0.002334738653,,
611,516.509174,2069.870348,0.00233467001,,
612,516.505608,2069.795201,0.002334601368,,
613,516.502042,2069.720057,0.002334532727,,
614,516.498476,2069.644914,0.002334464088,,
615,516.49491,2069.569774,0.002334395451,,
616,516.491344,2069.494636,0.002334326815,,
617,516.487778,2069.419501,0.00233425818,,
618,516.484212,2069.344367,0.002334189547,,
619,516.480646,2069.269236,0.002334120916,,
620,516.47708,2069.194107,0.002334052286,,
621,516.473514,2069.11898,0.002333983658,,
622,516.469948,2069.043855,0.002333915031,,
623,516.466382,2068.968733,0.002333846406,,
624,516.462816,2068.893613,0.002333777782,,
625,516.45925,2068.818494,0.00233370916,,
626,516.455684,2068.743379,0.00233364054,,
627,516.452118,2068.668265,0.002333571921,,
628,516.448552,2068.593154,0.002333503304,,
629,516.444986,2068.518044,0.002333434688,,
630,516.44142,2068.442937,0.002333366073,,
